"","label.final","cluster.final","label","edgeID","parent","node","branch.length","Order","edgeOrder","node.order","node.bootstrap","TEfamily","species","cluster.color","branch.length.ToKeptNode","is_removed","node.info_1","node.info_2","TEfamily.representative","count","perC","consensus.name","is_consensus"
"35","Node147/100:MER11A(25,1)","Node147/100","T_67","1136 809",1136,809,0.065138917,809,1033,NA,NA,"MER11A","hg19","#7FE7A4",1.2174163721,"kept","Node147","100","MER11A","25","25","11A|N147|25","instance"
"36","Node148/100:MER11A(10,1)","Node148/100","T_537","1059 799",1059,799,0.0520541351,799,1017,NA,NA,"MER11A","hg19","#E78A45",0.1760841404,"kept","Node148","100","MER11A","10","10","11A|N148|10","instance"
"37","Node148/100:MER11A(10,1)","Node148/100","T_727","1129 798",1129,798,0.0549564338,798,1016,NA,NA,"MER11A","hg19","#E78A45",0.1903226607,"kept","Node148","100","MER11A","10","10","11A|N148|10","instance"
"38","Node148/100:MER11A(10,1)","Node148/100","T_327","1130 797",1130,797,0.0467782546,797,1015,NA,NA,"MER11A","hg19","#E78A45",0.191747958,"kept","Node148","100","MER11A","10","10","11A|N148|10","instance"
"39","Node148/100:MER11A(10,1)","Node148/100","T_131","1128 791",1128,791,0.0412209064,791,1007,NA,NA,"MER11A","hg19","#E78A45",0.1723982114,"kept","Node148","100","MER11A","10","10","11A|N148|10","instance"
"40","Node148/100:MER11A(10,1)","Node148/100","T_17","1059 793",1059,793,0.0444833776,793,1009,NA,NA,"MER11A","hg19","#E78A45",0.1685133829,"kept","Node148","100","MER11A","10","10","11A|N148|10","instance"
"41","Node148/100:MER11A(10,1)","Node148/100","T_310","1059 794",1059,794,0.0432780974,794,1010,NA,NA,"MER11A","hg19","#E78A45",0.1673081027,"kept","Node148","100","MER11A","10","10","11A|N148|10","instance"
"42","Node148/100:MER11A(10,1)","Node148/100","T_257","1059 790",1059,790,0.0331819066,790,1005,NA,NA,"MER11A","hg19","#E78A45",0.1572119119,"kept","Node148","100","MER11A","10","10","11A|N148|10","instance"
"43","Node148/100:MER11A(10,1)","Node148/100","T_505","1128 792",1128,792,0.0480157542,792,1008,NA,NA,"MER11A","hg19","#E78A45",0.1791930592,"kept","Node148","100","MER11A","10","10","11A|N148|10","instance"
"44","Node148/100:MER11A(10,1)","Node148/100","T_39","1130 796",1130,796,0.0432252149,796,1014,NA,NA,"MER11A","hg19","#E78A45",0.1881949183,"kept","Node148","100","MER11A","10","10","11A|N148|10","instance"
"45","Node148/100:MER11A(10,1)","Node148/100","T_562","1059 795",1059,795,0.042612689,795,1011,NA,NA,"MER11A","hg19","#E78A45",0.1666426943,"kept","Node148","100","MER11A","10","10","11A|N148|10","instance"
"46","Node151/97:MER11A(53,1)","Node151/97","T_251","1111 726",1111,726,0.027658348,726,925,NA,NA,"MER11A","hg19","#DFB28C",0.2073478214,"kept","Node151","97","MER11A","53","53","11A|N151|53","instance"
