"","label.final","cluster.final","label","edgeID","parent","node","branch.length","Order","edgeOrder","node.order","node.bootstrap","TEfamily","species","cluster.color","branch.length.ToKeptNode","is_removed","node.info_1","node.info_2","TEfamily.representative","count","perC","consensus.name","is_consensus"
"88","Node11/99:MER11B(33,1)","Node11/99","T_1064","523 252",523,252,0.0661779624,252,356,NA,NA,"MER11B","hg19","#E56D52",0.2941007264,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"89","Node11/99:MER11B(33,1)","Node11/99","T_1480","523 255",523,255,0.0595659842,255,359,NA,NA,"MER11B","hg19","#E56D52",0.2874887482,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"90","Node11/99:MER11B(33,1)","Node11/99","T_1031","616 248",616,248,0.0546993273,248,351,NA,NA,"MER11B","hg19","#E56D52",0.2941818259,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"91","Node11/99:MER11B(33,1)","Node11/99","T_1044","617 251",617,251,0.0296885058,251,355,NA,NA,"MER11B","hg19","#E56D52",0.2750999771,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"92","Node11/99:MER11B(33,1)","Node11/99","T_1507","620 276",620,276,2.5259e-06,276,383,NA,NA,"MER11B","hg19","#E56D52",0.3461741882,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"93","Node11/99:MER11B(33,1)","Node11/99","T_1318","523 245",523,245,0.0616121085,245,346,NA,NA,"MER11B","hg19","#E56D52",0.2895348725,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"94","Node11/99:MER11B(33,1)","Node11/99","T_1229","523 271",523,271,0.0611407971,271,377,NA,NA,"MER11B","hg19","#E56D52",0.2890635611,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"95","Node11/99:MER11B(33,1)","Node11/99","T_1116","523 267",523,267,0.0394642985,267,373,NA,NA,"MER11B","hg19","#E56D52",0.2673870625,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"96","Node11/99:MER11B(33,1)","Node11/99","T_1022","523 249",523,249,0.061896257,249,352,NA,NA,"MER11B","hg19","#E56D52",0.289819021,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"97","Node11/99:MER11B(33,1)","Node11/99","T_1367","615 246",615,246,0.0469853256,246,348,NA,NA,"MER11B","hg19","#E56D52",0.2858560783,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"98","Node11/99:MER11B(33,1)","Node11/99","T_1421","523 265",523,265,0.0507164083,265,371,NA,NA,"MER11B","hg19","#E56D52",0.2786391723,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"99","Node11/99:MER11B(33,1)","Node11/99","T_1039","618 258",618,258,0.0622030949,258,363,NA,NA,"MER11B","hg19","#E56D52",0.2997356462,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"100","Node11/99:MER11B(33,1)","Node11/99","T_1124","523 270",523,270,0.0464599946,270,376,NA,NA,"MER11B","hg19","#E56D52",0.2743827586,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"101","Node11/99:MER11B(33,1)","Node11/99","T_1478","616 247",616,247,0.057560981,247,350,NA,NA,"MER11B","hg19","#E56D52",0.2970434796,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"102","Node11/99:MER11B(33,1)","Node11/99","T_1080","618 259",618,259,0.0374448726,259,364,NA,NA,"MER11B","hg19","#E56D52",0.2749774239,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"103","Node11/99:MER11B(33,1)","Node11/99","T_1043","617 250",617,250,0.0240928495,250,354,NA,NA,"MER11B","hg19","#E56D52",0.2695043208,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
"104","Node11/99:MER11B(33,1)","Node11/99","T_1240","523 273",523,273,0.0615456916,273,379,NA,NA,"MER11B","hg19","#E56D52",0.2894684556,"kept","Node11","99","MER11B","33","33","11B|N11|33","instance"
