"","TE_family","mean.div","mean.age","mean.Len","count","sd.Len","sum.Len","count.200"
"744","MER8:TcMar-Tigger:DNA",22.0208012326656,100.094551057571,186.464817668207,1947,66.2652582441164,363047,1098
"745","MER81:hAT-Blackjack:DNA",23.9001907876806,108.637230853093,95.3398746252385,3669,20.4267928189859,349802,NA
"746","MER82:TcMar-Tigger:DNA",20.2854484441733,92.2065838371513,343.929835265406,3278,212.360311740389,1127402,2120
"747","MER83:ERV1:LTR",14.0137634408602,63.6989247311828,327.178494623656,465,147.035638016322,152138,343
"748","MER83A-int:ERV1:LTR",19.9635514018692,90.7434154630416,584.065420560748,107,708.507257136879,62495,84
"749","MER83B-int:ERV1:LTR",18.1103846153846,82.3199300699301,574.834615384615,260,616.707949154253,149457,164
"750","MER83B:ERV1:LTR",14.4368055555556,65.6218434343434,255.513888888889,144,121.292110335034,36794,100
"751","MER83C:ERV1:LTR",16.938961038961,76.9952774498229,294.415584415584,154,100.931135605538,45340,127
"752","MER84-int:ERV1:LTR",19.26,87.5454545454545,635.324137931034,145,645.721010477163,92122,90
"753","MER84:ERV1:LTR",14.2099173553719,64.5905334335086,282.264462809917,363,175.345850921192,102462,204
"754","MER85:PiggyBac:DNA",7.27281767955801,33.0582621798091,123.110497237569,905,19.0537476360465,111415,NA
"755","MER87:ERV1:LTR",23.473127753304,106.696035242291,292.581497797357,227,197.56689516018,66416,125
"756","MER87B:ERV1:LTR",15.9504098360656,72.5018628912072,303.040983606557,244,168.931008273289,73942,148
"757","MER88:ERVL:LTR",20.2920353982301,92.2365245374095,318.327433628319,113,144.84236767196,35971,86
"758","MER89-int:ERV1:LTR",28.0428774928775,127.467624967625,461.094017094017,702,477.891884278998,323688,482
"759","MER89:ERV1:LTR",20.3486700215672,92.4939546434874,307.439252336449,1391,172.225029758778,427648,928
"760","MER90:ERV1:LTR",24.7854700854701,112.661227661228,319.888888888889,702,170.552301344943,224562,478
"761","MER90a:ERV1:LTR",23.8306335204491,108.321061456587,323.946271050521,1247,177.288081167475,403961,863
