"","mark","family.group","functional.group","family.cluster","no.subfamilies.FG","subfamily.count_200bp.FG","intersect.count_200bp.FG","uniqueID.FG","pvalue","mean.value","sd.value","log2FC","perC"
"25728","ZNF433","G2","PG4","LTR5",7,282,0,"ZNF433 G2 PG4 LTR5",2,0.14,0.348735088019777,-0.189033824390017,0
"25729","ZNF433","G2","PG5","LTR5",13,360,0,"ZNF433 G2 PG5 LTR5",2,0.1,0.301511344577763,-0.137503523749935,0
"25730","ZNF433","G2","PG6","LTR5",1,258,0,"ZNF433 G2 PG6 LTR5",2,0.1,0.301511344577763,-0.137503523749935,0
"25731","ZNF433","G3","PG1","LTR6",6,71,0,"ZNF433 G3 PG1 LTR6",2,0,0,0,0
"25732","ZNF433","G3","PG2","LTR6",2,26,0,"ZNF433 G3 PG2 LTR6",2,0,0,0,0
"25733","ZNF433","G3","PG3","LTR6",1,54,0,"ZNF433 G3 PG3 LTR6",2,0,0,0,0
"25734","ZNF433","G3","PG4","LTR6",3,138,0,"ZNF433 G3 PG4 LTR6",2,0.05,0.21904291355759,-0.070389327891398,0
"25735","ZNF433","G4","PG1","LTR2",13,758,0,"ZNF433 G4 PG1 LTR2",2,0.14,0.376587548676509,-0.189033824390017,0
"25736","ZNF433","G4","PG2","LTR2",2,51,0,"ZNF433 G4 PG2 LTR2",2,0.01,0.1,-0.0143552929770701,0
"25737","ZNF433","G4","PG3","LTR2",4,138,0,"ZNF433 G4 PG3 LTR2",2,0.02,0.14070529413629,-0.028569152196771,0
"25738","ZNF433","G4","PG4","LTR2",5,272,0,"ZNF433 G4 PG4 LTR2",2,0.03,0.171446607997765,-0.0426443374084937,0
"25739","ZNF433","G5","PG1","MER11A",10,682,173,"ZNF433 G5 PG1 MER11A",0,0.22,0.416333199893227,7.15606234806057,0.25366568914956
"25740","ZNF433","G5","PG2","MER11A",8,165,0,"ZNF433 G5 PG2 MER11A",2,0.05,0.21904291355759,-0.070389327891398,0
"25741","ZNF433","G5","PG3","MER11A",13,247,0,"ZNF433 G5 PG3 MER11A",2,0.06,0.238683256575942,-0.0840642647884746,0
