Order,Combination,ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU,rank,rooted_incstance_cluster,is_kept,Combination,final_tree
343,hg19_G3_v1,7,-2883.300843,0.635828264,0.067,0.406,0.832,0.06823806,0.487256531,5,-,2,LTR6s,
344,hg19_G3_v1,5,-2883.33258,0.667564689,0.113,0.373,0.812,0.077121868,0.480267955,6,-,2,LTR6s,
345,hg19_G3_v1,3,-2883.39671,0.731695397,0.063,0.173,0.737,0.086812122,0.170378718,7,-,0,LTR6s,
346,hg19_G3_v1,9,-2883.559379,0.894363675,0.021,0.38,0.829,0.048295864,0.603013108,8,-,1,LTR6s,
347,hg19_G3_v1,19,-2883.649989,0.984974379,0.045,0.373,0.794,0.054195951,0.62402856,9,-,1,LTR6s,
348,hg19_G3_v1,10,-2883.650368,0.985352666,0.056,0.373,0.794,0.054176363,0.429485021,10,-,2,LTR6s,
349,hg19_G3_v1,6,-2883.7495,1.084485042,0.025,0.274,0.737,0.047269831,0.141822128,11,-,0,LTR6s,
350,hg19_G3_v1,20,-2883.869356,1.204340901,0.04,0.355,0.727,0.038957772,0.042057299,12,-,0,LTR6s,
351,hg19_G3_v1,18,-2884.03589,1.370874779,0.092,0.35,0.691,0.052871455,0.428686967,13,-,2,LTR6s,
352,hg19_G3_v1,11,-2884.428017,1.763002298,0.011,0.285,0.601,0.026234452,0.100284248,14,-,0,LTR6s,
353,hg19_G3_v1,17,-2885.070639,2.405623793,0.014,0.227,0.443,0.018779662,0.056338494,15,-,0,LTR6s,
354,hg19_G3_v1,12,-2885.113187,2.448172122,0.012,0.219,0.429,0.017796703,0.138776784,16,-,0,LTR6s,
355,hg19_G3_v1,22,-2885.712312,3.04729738,0,0.127,0.342,0.007887358,0.00070981,17,-,0,LTR6s,
356,hg19_G3_v1,14,-2888.734233,6.069217537,0,0.047,0.074,0.00121609,0.015254932,18,-,0,LTR6s,
357,hg19_G3_v1,13,-2888.734295,6.06927972,0,0.047,0.074,0.001216002,0.015238004,19,-,0,LTR6s,
358,hg19_G3_v1,16,-2889.665128,7.000113439,0,0.032,0.044,0.000890682,0.003393549,20,-,0,LTR6s,
359,hg19_G3_v1,15,-2889.665309,7.000294015,0,0.032,0.044,0.000890548,0.003406723,21,-,0,LTR6s,
360,hg19_G4_v1,1,-3460.182373,0,0.795,0.917,1,0.621882832,0.957981067,2,-,1,LTR2s,kept
